#{"t_start": 1770112823.1224694, "env_id": "LunarLander-v3"}
r,l,t
241.838081,243,3.341136
1.020163,1000,4.207191
33.40228,1000,5.080953
296.728123,235,5.290241
2.124233,90,5.371602
-0.017025,1000,6.242157
-34.950545,1000,7.105911
-79.915796,1000,7.969774
242.999663,633,8.529575
-19.809259,1000,9.404131
-59.811581,1000,10.279727
-40.369195,1000,11.141667
292.409615,259,11.929684
11.52624,1000,12.298055
7.268974,1000,12.670847
-47.119773,1000,13.043608
-34.288427,1000,13.415648
-13.890169,1000,13.789034
-0.908062,1000,14.157795
-10.443289,1000,14.529665
-47.586649,1000,14.90412
303.01573,281,15.01159
7.46775,1000,15.891883
-13.545811,1000,16.760723
37.408631,1000,17.627331
277.479814,170,17.77606
31.279291,1000,18.659242
42.440501,133,18.775589
2.478138,1000,19.644535
-17.530283,1000,20.520807
300.867058,316,20.797807
260.857236,263,21.029702
38.672665,205,21.210888
218.765677,571,21.714211
215.144466,601,22.248124
296.129818,320,22.533827
280.411025,364,22.864815
293.269125,230,23.070143
275.722235,322,23.354127
261.034377,195,23.52541
277.927884,208,23.874074
43.834251,119,23.919034
72.122779,198,23.993935
271.629564,256,24.091285
293.846558,242,24.184783
302.067222,177,24.253578
50.0717,158,24.313063
-269.150575,267,24.414325
297.906572,233,24.502567
150.998993,1000,24.900825
60.867162,123,25.020688
245.352854,457,25.424085
279.554266,205,25.583739
274.006979,393,25.882442
216.209081,480,26.28379
34.118354,135,26.40098
287.256796,265,26.635653
288.919073,237,26.846278
234.775898,681,27.447513
284.517545,300,27.713147
230.287732,272,27.955501
34.583919,101,28.044402
56.342467,1000,28.926235
249.606648,336,29.224561
67.90982,164,29.370924
56.607145,96,29.456914
297.560096,345,29.764689
22.694067,83,29.84292
58.644551,130,29.959284
0.826342,84,30.032524
128.692898,996,30.905752
22.041545,111,31.002823
287.37646,224,31.207971
-225.836263,205,31.393523
42.517983,130,31.50833
63.80156,139,31.627138
271.202715,203,31.813732
253.34711,292,32.07153
186.13773,179,32.231052
237.081457,613,32.765834
274.867687,425,33.146811
195.305047,571,33.898578
-49.919564,1000,34.27388
61.662536,141,34.327274
153.501511,1000,34.726836
-1.313695,1000,35.096374
-80.800525,1000,35.471003
-10.193508,1000,35.842381
37.332324,130,35.891716
298.852536,202,35.969996
177.821398,1000,36.384017
169.222403,895,37.331249
-95.897732,250,37.561803
256.06074,326,37.945005
30.608527,124,38.126851
247.159744,456,38.607522
275.773233,423,39.115816
278.204609,397,39.556244
271.775233,501,40.048857
235.647552,522,40.596411
270.949012,376,40.951423
254.186105,292,41.228221
202.317083,569,41.83999
52.810736,1000,42.701998
222.960467,512,43.186601
248.702555,397,43.561208
264.907208,461,44.065197
208.598725,745,44.804152
264.855848,237,45.032611
210.694194,507,45.509197
270.65548,436,45.896225
297.041958,345,46.207715
237.077788,302,46.523576
6.935453,1000,46.899093
234.78244,321,47.019965
208.04091,438,47.18376
219.896632,408,47.338414
244.106189,306,47.453835
267.996627,304,47.568307
265.300062,333,47.693676
256.742864,461,47.867841
231.464624,363,48.003845
275.890931,316,48.294078
221.180871,653,48.874902
261.402048,238,49.092983
257.606393,380,49.431638
284.945145,350,49.747005
255.993461,467,50.168598
274.232635,412,50.538215
283.875778,545,51.028712
204.467821,637,51.593118
7.794835,1000,52.483889
204.259493,469,52.847169
262.508156,156,52.9686
153.903433,963,53.714564
0.469065,1000,54.542584
229.341888,381,54.887861
174.439645,612,55.473163
21.883825,1000,56.307667
244.39313,404,56.890887
143.276686,801,57.21386
281.730989,346,57.353676
241.573797,478,57.542411
220.78712,478,57.731542
146.312421,953,58.105548
184.725287,774,58.419799
153.005164,905,58.786192
30.372443,1000,59.181455
3.828977,1000,59.577013
223.426999,476,60.12137
228.033956,709,60.83673
268.391902,424,61.21876
264.913989,464,61.701469
23.326732,1000,62.554637
225.619188,440,62.973
246.897279,230,63.216031
258.665173,355,63.507116
220.987918,719,64.088136
255.670078,284,64.322305
271.025552,460,64.698159
239.031173,483,65.081568
206.485938,682,65.608678
300.700818,211,65.772988
203.899294,555,66.195996
253.723959,264,66.400668
237.280389,646,66.902663
224.896682,732,67.46861
280.391137,313,67.708209
185.135336,671,68.381224
194.249578,750,68.667843
192.818238,546,68.876544
190.506418,567,69.090533
238.424657,649,69.333953
19.290863,1000,69.719566
187.555349,760,70.033337
7.107996,1000,70.424726
209.768987,708,70.697666
256.424184,460,70.870891
182.02778,537,71.295518
274.351618,345,71.560818
248.941812,375,71.851442
239.758944,412,72.164615
230.047941,390,72.462811
266.555448,434,72.805395
277.203975,161,72.956093
158.898468,883,73.72689
247.209976,416,74.063223
293.482303,353,74.34816
241.579538,469,74.868096
236.681333,560,75.392122
223.98746,500,75.895319
250.523339,260,76.110261
263.474675,353,76.401647
251.701663,569,76.967686
263.051227,399,77.309324
239.79008,495,77.712904
246.224932,598,78.198696
302.374872,170,78.329121
258.443729,285,78.578401
212.954043,318,78.855006
227.962199,367,79.139627
229.783924,255,79.504328
259.928758,289,79.613625
219.328871,334,79.739941
271.562788,376,79.883881
240.709205,502,80.076656
281.478552,367,80.21807
218.679881,328,80.341777
284.558808,316,80.46174
263.005775,284,80.568741
218.91244,390,80.715663
252.872899,423,81.050933
274.396738,384,81.389652
266.353263,534,81.897953
263.996371,283,82.15167
274.644797,333,82.429736
233.776061,486,82.967231
242.743096,323,83.28334
269.090863,208,83.502506
265.54007,249,83.722386
231.266875,516,84.139167
239.721055,450,84.531912
242.414415,558,85.168726
268.120022,299,85.495211
269.617547,333,85.808338
283.721451,219,86.011055
240.131691,527,86.571219
238.26187,357,86.949035
278.655518,232,87.188829
236.485288,611,87.782622
270.898912,190,88.000666
257.615536,308,88.310374
177.789697,623,88.907235
293.557083,299,89.18955
223.929101,556,89.716915
297.173958,280,89.975555
189.707629,866,90.670739
304.712692,310,90.788617
287.63414,234,90.878236
253.735254,217,90.960407
244.012889,387,91.106308
168.30919,1000,91.507766
270.502047,251,91.602907
198.687397,508,91.794244
165.253295,1000,92.199672
301.10458,193,92.273102
239.205868,302,92.547597
247.683679,392,92.856747
260.606786,286,93.080846
284.683388,270,93.292731
259.989164,501,93.674537
291.800498,341,93.93626
269.608052,251,94.132331
230.471973,426,94.456478
197.234042,473,94.827542
269.818504,287,95.047118
247.230623,251,95.246573
284.616892,191,95.394335
294.610407,336,95.651556
278.408066,317,95.894537
313.475975,474,96.269603
258.781803,327,96.523153
307.247032,291,96.745127
231.981343,314,96.984384
282.884112,311,97.228238
270.262221,210,97.390873
295.82146,215,97.560731
279.455041,182,97.701165
246.737105,231,97.881616
278.758687,242,98.067961
276.953383,473,98.436457
202.359655,521,98.836493
302.359773,315,99.085754
199.697802,947,99.846921
265.720639,240,100.0339
255.936523,398,100.248791
248.692706,432,100.410765
243.67804,442,100.577164
191.214092,465,100.752885
221.354022,374,100.893056
164.041271,689,101.151847
280.271445,195,101.227284
285.294755,215,101.309511
288.22918,191,101.382017
269.526733,377,101.523133
245.86863,477,101.894304
278.741578,257,102.097107
275.468184,240,102.284597
289.268871,364,102.569488
256.708072,310,102.815713
68.990512,119,102.909081
306.288443,317,103.15631
7.5217,127,103.255046
279.385918,171,103.388916
265.541841,257,103.588798
282.901456,275,103.798826
275.038721,225,103.973437
283.419252,285,104.191392
290.797882,230,104.37202
260.776758,341,104.632694
296.554206,297,104.861659
316.237867,201,105.019659
204.402711,611,105.499367
291.694889,428,105.866735
276.10011,188,106.034115
254.26593,169,106.182521
236.643674,248,106.380635
262.975502,211,106.544391
219.554042,331,106.834276
61.576611,143,106.946325
55.920602,149,107.061688
60.979558,137,107.166768
233.078223,416,107.486562
262.794266,332,107.741992
238.488744,656,108.251758
254.48354,442,108.592525
236.611977,229,108.768359
236.072856,274,108.980804
310.743406,203,109.14122
281.373589,227,109.31816
185.041186,1000,109.805415
155.610283,1000,110.206706
301.918785,304,110.321906
250.865352,246,110.414916
237.30298,342,110.543845
103.715146,1000,110.942553
101.320484,1000,111.330699
272.394149,357,111.464535
278.760559,193,111.538062
60.440022,121,111.58394
296.882783,274,111.802757
231.902321,233,111.980984
299.899778,283,112.203353
248.262359,236,112.384702
290.87065,225,112.559217
259.821507,161,112.682761
